,county,sex,xiang,m001,m002,m003,m004,m005,m006,m007,m008,m009,m010,m011,m012,m013,m014,m015,m016,m017,m018,m019,m020,m021,m022,m023,m024,m025,m026,m027,m028,m029,m030,m031,m032,m033,m034,m035,m036,m037,m038,m039,m040,m041,m042,m043,m044,m045,m046,m047,m048,m049,m050,m051,m052,m053,m054,m055,m056,m057,m058,m059,m060,m061,m062,m063,m064,m065,m066,m067,m068,m069,m070,m071,m072,m073,m074,m075,m076,m077,m078,m079,m080,m081,m082,m083,m084,m085,m086,m087,m088,m089,m090,m091,m092,m093,m094,m095,m096,m097,m098,m099,m100,m101,m102,m103,m104,m105,m106,m107,m108,m109,m110,m111,m112,m113,m114,m115,m116,m117,m118,m119
5,AA,F,3,2.83,68.53,60.71,94.76,7.49,50.53,58.71,6.91,36.06,58.77,9.79,32.37,0.0,0.56,0.29,6.03,0.0,0.0,1.04,2.95,15.25,6.73,2.75,0.59,3.26,3.26,31.76,62.46,22.58,0.31,57.39,10.72,1.28,0.67,,27.54,10.13,5.91,7.3,5.28,2.36,8.07,0.0,5.17,5.17,0.0,0.0,1.61,5.6,0.0,12.38,2.12,3.59,1.19,0.74,0.62,3.0,1.74,1.61,0.0,16.86,2.99,16.55,0.0,122.77,1.74,37.82,5.37,129.6,3.09,5.58,124.03,2.17,40.68,2.0,1.0,0.0,1.82,26.39,2.13,83.78,11.49,17.29,,17.29,17.29,0.31,0.56,6.53,3.7,0.84,1.28,22.11,38.64,8.59,18.61,9.53,7.87,11.61,18.23,1.89,1.9,6.6,0.1,14.17,11.18,2.99,0.94,0.16,2.68,0.31,0.63,6.14,1.89,2.05,0.31,0.0,0.0,1.57
14,AB,F,3,3.2,32.98,77.51,99.4,8.27,57.23,66.2,7.64,33.21,62.97,13.66,96.79,1.99,0.94,0.34,7.11,0.0,1.31,1.5,9.36,71.67,14.67,2.92,0.0,0.94,0.94,22.83,57.8,38.71,1.82,79.61,9.96,1.31,0.78,,32.0,6.37,9.99,4.35,4.62,2.81,8.84,0.0,8.54,8.54,0.0,0.0,1.34,1.42,1.84,8.73,0.72,2.09,0.0,0.61,0.38,2.09,2.71,1.71,1.31,16.15,6.21,17.08,0.72,131.42,1.99,39.45,6.3,138.81,4.92,3.04,135.77,0.5,21.52,4.34,1.31,3.56,2.0,11.45,3.82,91.06,7.24,20.37,,20.37,20.37,1.02,0.0,1.61,1.92,0.0,1.59,19.99,26.27,7.36,8.23,10.05,8.57,12.87,34.46,0.34,2.25,10.27,0.22,15.99,13.0,2.99,1.58,0.18,3.69,0.7,2.11,6.33,3.16,0.18,1.41,0.0,0.0,2.28
23,AC,F,3,2.72,38.04,61.4,84.8,7.19,63.24,57.37,6.86,27.43,33.65,10.41,28.8,0.33,1.21,0.0,4.71,0.0,1.64,0.0,3.64,10.72,10.92,2.15,0.0,3.94,3.94,17.72,50.1,13.93,0.89,33.75,5.19,0.67,0.0,,27.54,11.97,9.44,7.23,2.55,4.13,13.9,0.0,10.28,10.28,0.0,0.0,0.33,0.0,2.09,9.35,3.03,3.59,0.88,0.0,2.25,2.11,1.67,1.52,0.78,9.98,10.27,27.88,0.0,101.31,1.67,50.26,5.54,177.26,3.98,3.36,170.88,2.0,51.99,4.96,0.0,0.0,0.72,21.26,1.61,55.01,26.14,26.57,,26.57,26.57,0.39,0.0,3.46,2.42,1.32,7.26,17.27,21.6,2.84,5.42,9.08,6.53,9.76,12.05,0.39,0.0,9.17,0.06,13.6,10.82,2.78,1.08,0.31,2.16,0.77,0.46,6.03,2.32,1.85,0.31,0.0,0.0,1.55
32,BA,F,3,3.08,50.13,121.89,127.94,13.29,71.5,102.27,12.97,25.67,32.96,44.64,73.03,2.59,8.16,10.48,35.34,0.72,0.5,0.0,2.73,0.0,8.84,5.27,2.4,0.0,0.0,288.19,75.08,0.0,1.0,32.14,0.89,0.0,0.0,,43.74,7.7,46.96,0.0,0.0,2.36,3.21,0.37,11.37,10.17,0.0,0.0,1.03,7.98,0.77,9.86,1.74,1.86,1.8,0.0,1.31,1.2,10.59,4.52,1.31,8.03,77.62,47.08,2.11,297.05,8.48,154.9,22.18,173.8,20.14,26.29,147.51,3.44,46.22,16.07,1.2,3.82,1.05,22.76,2.04,54.91,0.0,4.96,,4.96,3.47,10.01,6.05,0.0,1.06,2.49,6.46,15.49,19.2,3.23,2.89,3.72,0.66,9.84,12.55,0.34,1.2,9.56,1.86,15.39,13.83,1.56,5.89,0.6,1.56,0.0,1.08,3.97,0.24,1.68,0.0,0.0,0.0,0.24
50,BC,F,3,4.15,46.86,100.88,130.33,8.22,50.28,93.71,7.75,36.61,47.11,30.53,46.11,2.0,3.7,2.76,28.48,1.49,5.47,0.33,1.22,0.0,10.88,2.56,0.0,2.18,2.18,34.88,38.21,9.65,0.95,44.35,6.23,0.7,0.0,,65.06,9.37,12.43,9.54,4.78,4.27,7.19,1.31,7.75,7.75,0.29,0.0,2.77,1.37,1.96,5.64,1.29,0.0,0.86,0.0,0.71,0.0,5.4,2.54,1.84,32.4,9.63,59.97,2.68,149.58,2.72,104.18,21.05,163.64,18.85,4.92,157.34,7.31,29.58,3.81,0.0,0.96,2.0,26.03,2.95,70.38,0.0,8.78,,8.78,8.78,2.42,1.47,0.0,1.92,0.94,3.03,27.17,32.18,6.94,6.7,2.29,2.59,9.16,14.23,0.0,0.7,9.99,0.34,20.75,19.04,1.71,5.94,2.01,3.83,0.3,2.22,4.73,0.91,0.91,1.71,0.0,0.1,0.2
59,CB,F,3,3.93,73.04,125.79,148.92,12.38,68.49,121.79,11.93,27.13,45.14,66.77,79.06,15.26,5.17,9.49,46.34,0.0,14.69,0.0,0.0,0.0,10.09,4.95,5.05,2.64,2.64,161.19,185.91,16.19,1.75,30.05,1.18,1.08,5.42,,21.02,10.61,39.81,3.88,4.76,3.93,1.67,0.0,8.53,7.35,0.0,1.18,0.5,0.0,1.01,7.93,6.34,9.38,3.43,5.2,1.88,4.18,8.64,3.68,4.85,54.48,23.54,37.09,1.07,245.89,7.57,122.12,29.43,142.07,29.43,10.69,129.91,4.66,70.57,16.41,2.45,6.37,2.67,40.14,4.42,70.2,2.54,6.76,,6.76,5.77,14.12,2.7,1.46,7.59,0.55,0.86,18.7,31.32,6.42,0.86,3.19,3.53,8.01,13.82,0.42,0.0,10.77,2.29,19.66,18.62,1.04,9.57,2.09,1.22,0.0,1.22,4.0,0.0,0.17,0.17,0.0,0.0,0.52
68,CC,F,3,1.85,38.8,140.42,117.72,11.84,91.72,84.3,11.31,33.42,53.47,30.08,52.2,0.5,1.89,9.42,33.32,1.85,7.76,0.0,0.0,0.0,10.76,2.77,1.48,0.0,0.0,63.56,74.65,6.13,0.0,29.51,0.0,3.94,1.89,,13.21,12.31,57.59,1.06,1.29,4.6,5.0,2.28,3.94,3.94,0.0,0.0,0.0,1.05,2.15,11.41,3.55,5.65,2.24,2.47,1.5,3.18,9.41,4.97,4.09,28.29,4.94,95.86,0.53,355.28,8.88,141.56,15.74,218.55,13.33,5.65,211.43,5.64,56.06,7.79,4.36,4.84,3.37,31.06,3.37,60.56,2.77,8.12,,8.12,8.12,7.26,0.0,1.89,1.89,0.85,0.0,17.79,40.83,3.5,8.62,2.35,5.25,14.8,12.64,0.83,0.0,4.61,0.89,9.24,8.44,0.8,3.66,0.32,1.91,0.0,1.43,0.8,0.16,0.0,0.32,0.0,0.0,0.16
77,CD,F,3,1.89,25.54,77.98,78.83,9.1,57.57,59.57,8.71,19.26,39.04,14.44,53.56,1.61,1.24,2.99,23.71,0.69,5.04,0.0,2.39,0.0,8.02,2.24,0.0,2.49,2.49,39.15,24.92,11.47,0.42,30.2,3.4,2.88,0.0,,20.39,13.12,39.71,7.51,2.45,2.33,7.17,0.83,16.96,15.2,0.0,0.0,1.09,2.56,2.93,12.15,2.35,6.31,0.94,0.0,1.43,2.88,3.51,3.32,1.65,49.4,22.72,50.73,0.0,205.03,3.51,127.41,8.22,187.77,6.71,17.66,170.12,2.75,43.23,4.52,7.48,3.82,2.14,23.0,2.55,53.2,3.0,6.19,,6.19,4.01,3.87,0.78,0.0,0.51,1.39,1.24,13.29,23.66,4.5,3.85,1.98,0.51,4.54,15.38,1.43,0.0,6.23,0.64,9.44,8.15,1.29,2.15,0.54,2.04,0.75,1.07,2.79,0.97,1.07,0.21,0.0,0.0,0.21
86,DA,F,3,2.35,33.53,119.93,111.7,7.03,48.51,64.61,6.42,47.09,60.85,22.36,67.0,1.0,5.46,1.95,40.68,0.94,7.97,0.0,0.0,0.0,4.31,1.63,0.0,1.62,1.62,43.01,27.21,9.41,1.31,39.2,2.26,0.0,0.0,,8.89,6.54,17.29,2.75,1.4,0.68,1.1,1.61,13.54,3.79,0.0,1.13,0.32,0.0,0.32,2.12,0.96,3.76,0.34,0.0,0.96,0.97,6.93,2.17,1.02,12.54,3.66,37.37,1.91,135.75,5.02,81.64,6.75,118.83,4.71,3.98,114.02,2.91,44.99,1.13,3.49,3.79,1.94,33.08,3.25,72.28,0.0,10.56,,10.56,9.43,4.07,3.57,0.0,0.0,0.32,0.0,12.29,14.71,2.37,7.58,3.19,2.58,34.8,45.01,0.0,0.0,8.79,0.7,11.76,11.3,0.45,1.02,0.57,1.02,0.11,0.68,5.88,0.23,1.13,2.37,0.34,0.0,0.11
95,DB,F,3,2.7,42.36,174.05,150.12,12.15,57.81,97.6,11.6,52.52,55.23,28.96,36.85,2.63,3.3,7.35,27.1,0.35,2.05,0.0,0.0,0.0,9.45,4.4,4.04,0.0,0.0,241.49,123.39,6.45,0.0,18.7,1.09,0.0,1.92,,13.02,6.66,11.19,0.0,0.0,1.72,3.88,2.91,11.57,10.33,0.7,0.0,2.83,2.85,2.17,12.08,5.59,4.59,0.81,0.0,1.77,4.59,8.58,4.25,1.45,19.43,79.05,39.09,1.91,263.06,6.67,162.07,19.74,154.72,15.32,4.39,149.27,9.07,52.57,13.83,1.53,4.12,4.58,25.49,4.58,44.18,1.53,3.5,,3.5,2.98,10.42,1.04,0.0,2.18,2.84,15.5,27.65,22.33,4.27,4.33,5.94,0.52,24.49,31.66,0.38,0.0,6.4,1.15,13.49,9.9,3.59,4.95,0.62,1.24,0.25,0.87,0.99,0.12,0.25,0.0,0.0,0.12,0.87
104,DC,F,3,4.72,34.79,161.43,169.67,10.9,52.25,127.18,10.51,42.49,38.45,38.02,54.54,2.14,1.75,4.88,25.48,0.0,1.01,0.0,0.0,0.0,11.56,4.64,2.05,0.0,0.0,198.68,158.66,7.38,1.0,27.19,1.01,0.0,1.33,,22.43,3.67,22.69,1.71,1.33,1.75,2.13,1.39,12.2,10.87,0.6,1.33,0.0,1.33,2.8,11.3,5.5,3.58,3.3,0.92,3.78,0.92,10.13,2.96,2.73,18.62,27.57,48.01,2.97,193.27,7.16,102.73,19.41,118.16,16.51,12.86,104.26,13.45,69.62,18.58,5.42,0.8,5.63,37.21,6.63,64.4,2.79,8.15,,8.15,8.15,10.73,6.05,0.0,2.79,3.8,14.53,12.29,13.7,4.46,1.8,1.67,0.0,13.57,8.08,2.14,0.0,15.73,1.22,23.62,20.98,2.64,5.6,2.75,2.86,0.55,1.65,6.48,0.66,1.54,1.32,2.09,0.11,0.11
113,EA,F,3,4.41,44.56,120.23,144.39,8.79,37.24,104.01,8.33,40.38,46.36,28.75,26.57,0.4,1.66,3.99,10.13,0.74,4.11,0.0,1.42,0.0,11.5,1.87,0.89,0.0,0.0,7.79,46.6,12.3,0.38,15.2,2.73,1.19,1.19,,50.36,11.12,14.81,6.47,2.46,3.85,3.84,2.05,13.95,10.5,0.67,0.0,0.57,2.35,1.94,9.75,4.51,4.55,2.49,2.19,2.63,0.89,6.99,2.2,1.44,20.27,2.37,28.89,3.67,147.52,3.32,72.69,21.18,315.98,17.13,3.24,312.74,2.97,38.89,3.76,2.73,2.11,1.62,21.36,2.0,36.56,7.45,7.36,,7.36,7.36,2.88,0.92,2.27,0.0,3.03,4.73,19.74,22.04,3.62,9.3,7.8,6.35,19.31,21.14,0.91,3.19,15.44,0.5,22.03,20.5,1.53,5.89,0.47,3.42,0.35,2.47,7.31,1.77,2.0,0.59,0.0,0.24,0.12
122,FA,F,3,5.01,66.01,176.74,191.41,11.99,40.62,136.85,11.51,54.56,47.63,45.16,74.63,2.53,5.02,6.93,37.38,4.28,7.87,0.0,5.27,0.0,19.11,2.04,2.28,1.5,1.5,5.28,56.32,7.32,3.33,44.62,1.54,1.06,5.34,,41.93,8.36,12.49,5.75,0.0,7.44,0.67,0.78,9.26,5.62,0.35,0.0,3.72,1.03,1.34,5.14,4.27,2.25,6.22,1.03,1.38,0.0,9.72,4.05,4.23,30.1,17.38,30.54,3.38,306.31,6.35,98.5,23.1,400.27,17.04,18.03,381.73,5.99,53.76,1.21,1.06,1.5,2.04,52.34,5.36,96.96,0.0,9.59,,9.59,8.52,5.8,2.85,1.21,0.0,2.07,0.0,22.31,21.26,7.64,10.66,3.9,0.51,28.45,23.47,3.81,2.89,14.37,0.89,25.05,22.02,3.02,5.08,1.21,4.48,1.69,1.81,6.17,2.42,1.94,0.36,0.0,0.12,0.6
131,GA,F,3,6.39,57.04,200.45,222.06,11.98,51.82,155.2,11.3,66.87,67.41,62.89,54.22,2.4,5.12,12.1,29.31,6.34,8.28,0.32,0.0,0.0,17.49,2.34,2.65,0.87,0.87,8.36,58.24,5.45,0.32,45.34,1.23,0.0,10.16,,39.47,12.1,15.9,3.1,6.99,6.78,4.94,0.7,8.22,7.72,0.32,0.0,0.0,2.85,3.32,4.42,3.0,6.67,6.0,0.0,1.72,3.52,9.64,3.64,5.51,38.67,9.45,64.59,2.02,243.88,7.62,120.26,32.43,406.86,27.81,5.14,400.69,2.71,36.36,2.57,0.0,0.64,1.97,31.91,2.29,77.24,1.23,9.73,,9.73,9.73,2.34,2.32,1.51,0.87,0.71,3.13,23.31,22.23,7.25,12.92,4.27,1.23,38.66,40.47,3.14,3.68,24.64,0.42,31.93,29.24,2.69,9.07,0.45,5.04,1.79,2.35,10.76,3.14,2.91,1.12,0.0,0.11,0.45
140,HA,F,3,3.27,59.38,136.55,141.72,8.76,82.94,94.14,7.96,47.58,80.44,18.38,27.47,2.88,4.4,1.84,11.86,0.4,0.0,0.0,1.54,0.0,16.33,2.84,0.0,1.54,0.81,12.39,68.73,10.59,3.79,65.24,4.88,1.13,0.0,,54.21,17.28,14.95,10.86,1.61,4.23,8.97,3.38,17.49,16.35,0.8,0.0,0.77,2.28,4.02,9.22,2.91,5.49,1.64,0.0,1.13,2.99,7.9,2.07,4.87,29.66,14.25,41.8,2.28,112.74,5.62,94.06,13.42,187.78,8.4,6.82,175.34,5.56,34.77,1.13,0.0,1.47,2.4,17.77,6.2,83.01,8.94,15.6,,15.6,14.64,1.56,0.48,1.13,0.0,1.6,11.03,22.69,13.29,8.37,5.5,4.12,1.47,23.14,66.42,1.44,0.0,9.75,0.31,16.35,14.26,2.1,2.66,1.54,4.19,0.7,2.8,3.49,0.56,0.98,0.42,0.0,0.28,0.28
149,IA,F,3,3.07,46.77,76.7,100.99,7.05,41.82,54.85,6.58,46.15,47.27,19.35,40.99,1.73,6.88,2.41,19.71,0.0,0.0,0.6,7.86,0.0,6.17,3.04,0.0,1.22,0.0,99.22,72.89,2.59,0.89,46.91,3.67,0.99,0.0,,21.55,9.88,20.83,1.86,4.66,3.78,6.13,1.15,7.94,6.1,0.85,0.99,0.0,0.99,0.58,5.25,2.08,2.94,1.17,0.0,0.56,0.87,4.36,1.44,2.25,14.07,4.28,25.43,0.35,82.64,4.01,61.43,10.1,102.59,8.48,3.44,97.93,4.29,29.1,4.66,0.0,1.86,2.06,22.45,2.95,69.36,1.98,9.48,,9.48,7.52,2.02,0.96,1.96,2.07,1.13,9.11,32.34,23.13,3.28,3.48,11.86,3.08,12.32,22.75,0.0,0.54,9.83,0.39,15.33,9.69,5.64,2.97,0.99,0.59,0.1,0.4,1.98,0.3,1.29,0.2,0.1,0.3,1.29
158,IB,F,3,4.21,54.6,113.51,140.67,12.55,55.97,84.18,12.09,56.49,45.99,30.51,43.91,5.78,1.41,5.26,26.28,1.31,2.87,0.0,9.48,0.0,11.44,6.96,4.02,3.08,2.04,327.23,170.56,10.57,0.0,86.6,4.38,0.76,3.85,,20.51,7.36,8.27,5.39,8.4,2.32,11.25,1.47,8.24,7.59,1.47,0.0,0.58,0.0,1.67,2.94,1.61,4.49,1.18,0.59,0.56,2.33,10.77,2.29,6.56,26.34,11.58,26.55,0.82,158.1,9.95,70.49,16.94,186.85,15.7,2.33,184.52,2.49,24.71,2.83,0.0,0.0,1.37,26.36,1.37,112.96,4.37,6.23,,6.23,5.64,4.8,1.93,2.39,2.43,3.74,1.04,41.67,18.54,1.68,8.42,27.44,7.68,14.53,27.44,0.0,0.0,12.11,0.63,21.07,13.51,7.56,4.94,1.61,1.01,0.1,0.81,2.92,0.0,1.41,0.91,0.0,0.4,4.03
167,IC,F,3,3.73,36.37,103.8,123.0,14.21,76.98,81.8,13.35,41.2,85.39,16.17,67.24,1.89,4.44,1.53,34.88,1.13,1.64,0.0,0.55,18.92,18.96,8.62,2.49,2.45,0.0,276.05,321.59,37.38,0.72,84.59,10.94,2.62,0.0,,19.77,19.3,14.11,8.92,5.54,5.15,17.84,2.42,9.74,8.28,1.23,0.0,0.0,0.0,1.53,12.41,3.6,3.43,0.85,0.0,2.38,2.26,2.78,2.51,0.37,23.55,14.94,26.78,0.8,178.91,1.97,72.13,12.54,71.06,8.84,1.64,69.42,3.42,38.49,6.07,1.64,4.44,0.4,17.71,1.13,102.29,7.55,9.73,,9.73,9.73,1.16,1.11,1.13,0.55,2.68,9.26,28.63,36.58,1.5,6.41,14.32,10.17,12.57,48.81,0.0,0.0,12.41,0.29,18.65,12.57,6.09,2.78,1.32,1.59,0.0,0.93,4.9,1.72,1.46,0.93,0.13,0.26,2.91
