,county,sex,xiang,m001,m002,m003,m004,m005,m006,m007,m008,m009,m010,m011,m012,m013,m014,m015,m016,m017,m018,m019,m020,m021,m022,m023,m024,m025,m026,m027,m028,m029,m030,m031,m032,m033,m034,m035,m036,m037,m038,m039,m040,m041,m042,m043,m044,m045,m046,m047,m048,m049,m050,m051,m052,m053,m054,m055,m056,m057,m058,m059,m060,m061,m062,m063,m064,m065,m066,m067,m068,m069,m070,m071,m072,m073,m074,m075,m076,m077,m078,m079,m080,m081,m082,m083,m084,m085,m086,m087,m088,m089,m090,m091,m092,m093,m094,m095,m096,m097,m098,m099,m100,m101,m102,m103,m104,m105,m106,m107,m108,m109,m110,m111,m112,m113,m114,m115,m116,m117,m118,m119
176,ID,F,3,6.77,56.02,133.28,188.95,11.42,63.59,106.1,10.76,82.85,65.63,40.46,28.92,6.29,2.61,3.63,10.71,0.63,2.27,0.97,3.03,0.0,13.14,6.03,2.56,4.39,2.29,200.99,221.62,6.48,2.09,63.13,6.57,0.0,1.13,,19.05,13.12,16.75,3.3,7.06,4.17,11.88,1.08,9.03,7.55,0.0,0.0,0.79,3.39,1.42,9.77,3.62,3.01,0.82,1.33,2.04,0.67,5.89,2.17,3.9,20.33,15.41,13.99,1.67,162.64,4.22,54.01,26.63,160.67,24.95,7.08,152.47,3.68,30.98,7.36,0.0,0.0,1.48,20.64,3.57,83.76,3.74,10.2,,10.2,10.2,4.17,1.33,2.18,0.7,2.41,1.48,60.76,21.46,3.72,3.84,44.62,14.15,20.28,44.17,1.81,0.0,18.6,0.55,33.87,20.85,13.03,8.14,2.06,1.85,0.11,1.09,6.95,0.43,4.78,1.74,0.0,0.0,9.01
185,IE,F,3,4.81,44.98,89.13,132.54,7.06,45.45,86.6,6.61,45.95,45.44,26.04,40.26,0.95,0.0,3.46,31.87,0.47,2.98,0.41,0.68,0.0,13.75,2.56,0.0,3.51,1.27,8.14,50.66,22.9,5.44,70.87,7.86,0.0,0.0,,28.99,15.84,15.23,6.6,6.76,1.94,7.78,2.84,12.82,11.17,0.95,0.0,1.51,2.93,1.75,10.07,2.96,4.74,0.95,0.0,1.62,3.47,3.79,1.48,0.0,7.77,5.42,26.51,0.89,104.95,2.9,43.41,19.75,98.72,18.15,3.8,90.18,5.02,66.69,6.65,0.0,0.0,3.81,44.75,9.25,115.62,12.01,14.17,,14.17,14.17,2.63,0.0,1.27,0.98,0.36,7.08,34.61,15.06,3.96,6.54,15.96,3.4,10.97,30.38,0.36,0.0,14.98,0.49,24.07,15.6,8.46,5.97,0.66,3.32,0.0,2.99,3.98,1.49,0.83,0.5,0.0,0.33,3.98
194,IF,F,3,5.31,50.33,81.99,137.06,5.82,37.54,95.98,5.49,41.07,33.12,26.49,26.9,0.85,2.42,1.16,17.85,1.43,0.0,0.0,0.78,0.0,14.89,2.59,0.0,1.69,1.69,9.7,64.34,18.64,4.93,67.87,4.75,0.91,0.0,,41.3,10.34,12.38,5.11,7.72,2.42,5.12,3.27,9.4,8.63,1.65,0.0,1.07,2.27,3.39,7.85,3.99,2.41,1.4,3.18,2.89,0.63,1.62,1.01,0.77,10.97,2.55,22.09,0.85,64.76,0.77,36.51,19.91,77.22,17.97,0.89,75.56,1.15,44.88,1.69,0.78,3.38,0.0,21.69,4.93,89.55,16.87,10.63,,10.63,9.84,3.33,0.95,2.3,1.56,0.85,0.78,33.22,18.43,1.16,5.06,15.85,7.29,7.85,13.91,0.0,0.78,17.33,0.82,26.54,17.89,8.65,6.15,0.38,2.88,0.19,1.54,6.15,1.73,2.69,0.77,0.0,0.58,3.46
203,IG,F,3,2.75,18.08,106.13,105.12,11.78,58.23,63.27,11.04,41.85,73.51,22.12,39.57,1.55,0.82,1.22,23.4,0.5,0.76,0.93,2.21,5.0,14.03,6.7,3.45,4.52,1.93,219.53,208.94,12.96,5.99,111.73,8.99,1.8,1.17,,36.36,9.82,16.81,5.48,8.43,2.3,5.95,0.0,8.0,8.0,0.0,0.0,0.94,1.4,1.62,9.36,4.01,6.6,0.31,1.4,3.08,5.01,3.12,2.07,0.97,33.3,10.57,26.45,0.44,124.03,2.68,82.93,15.96,131.79,13.53,3.58,128.21,1.0,24.8,6.65,0.0,0.0,1.33,15.66,7.33,127.4,3.93,7.25,,7.25,6.08,1.43,0.0,0.62,0.0,0.81,0.0,20.89,29.28,2.71,8.08,7.46,3.76,20.68,43.41,0.28,0.82,9.27,0.14,13.76,10.29,3.47,4.33,0.65,0.33,0.0,0.22,3.25,0.87,0.76,0.43,0.22,0.0,1.52
212,JA,F,3,4.7,94.41,154.47,182.42,11.43,50.12,111.76,10.07,70.66,135.3,38.84,106.84,1.88,6.93,4.25,65.34,1.81,1.55,0.0,0.0,12.99,11.08,3.71,1.1,0.0,0.0,149.94,104.9,12.55,1.37,43.62,0.69,0.0,0.0,,9.65,11.01,19.4,3.91,5.23,3.81,1.99,4.19,12.6,11.68,2.91,0.0,1.87,0.0,3.56,14.65,3.47,4.29,9.75,0.0,2.35,4.29,5.42,2.2,1.82,23.71,15.11,12.55,2.18,163.34,3.24,56.2,12.03,167.38,11.63,2.23,164.22,9.03,51.43,8.57,11.57,7.93,1.9,11.12,3.27,54.75,10.69,19.89,,19.89,17.09,8.58,2.99,4.34,1.55,5.42,32.16,38.36,31.73,2.3,8.32,21.32,12.4,30.78,100.48,1.52,1.55,11.06,1.29,23.51,17.26,6.25,3.5,1.38,1.88,0.13,1.0,3.25,0.75,1.25,0.13,0.0,0.88,3.63
221,JB,F,3,8.64,95.64,164.07,244.46,13.78,64.05,167.71,12.46,76.74,132.11,79.95,107.02,7.49,12.08,6.74,74.26,3.1,2.23,0.0,1.5,2.1,10.36,2.6,3.54,1.5,1.5,43.78,79.01,13.97,1.5,45.79,1.0,0.0,1.62,,12.93,3.23,27.08,1.0,4.9,2.1,4.12,6.46,5.66,3.89,5.32,0.0,1.87,7.15,4.39,14.83,4.46,0.78,8.94,0.0,1.1,0.0,7.14,3.96,1.8,51.27,51.97,54.62,1.04,234.14,6.1,161.91,24.55,338.95,22.66,7.71,329.74,12.2,81.62,17.93,4.17,2.49,3.08,38.96,4.57,84.74,13.17,14.55,,14.55,12.93,6.2,1.13,4.6,0.0,5.93,20.1,44.09,30.12,5.26,5.43,18.96,5.77,32.65,100.99,0.0,1.0,30.86,1.04,43.18,35.98,7.2,7.59,4.19,1.44,0.0,1.18,13.22,2.09,2.22,0.65,0.0,1.7,3.01
230,KB,F,3,7.42,28.59,94.32,168.11,9.32,57.56,109.89,8.82,58.22,50.04,27.11,57.82,3.25,4.79,2.03,27.13,0.0,0.0,0.53,9.12,0.0,12.56,2.93,3.28,1.5,1.5,22.27,78.0,8.12,2.46,74.89,5.78,5.42,0.0,,29.61,9.68,22.48,5.34,8.78,2.96,5.2,1.95,23.23,21.95,1.95,0.0,0.65,0.0,1.4,11.77,5.91,8.34,1.95,1.28,1.59,2.78,3.01,1.57,0.48,10.62,2.72,18.98,0.0,122.82,3.01,34.43,16.14,184.15,15.61,14.0,168.07,9.86,113.73,9.7,5.64,3.35,3.57,49.67,6.03,124.56,50.27,29.82,,29.82,29.82,1.06,0.0,6.64,1.5,0.41,6.0,46.44,24.16,5.61,4.5,8.13,5.42,11.04,23.81,0.74,2.07,22.2,0.17,37.11,26.87,10.25,5.46,2.96,2.5,0.46,1.59,9.79,2.5,5.24,1.59,0.0,0.68,1.37
239,KC,F,3,4.51,38.57,105.12,135.54,8.5,56.3,71.78,7.72,63.75,78.18,20.32,141.26,2.03,2.94,0.4,21.88,0.0,1.71,0.58,12.29,96.89,8.11,2.69,2.1,4.63,4.63,20.68,38.76,44.69,0.29,54.39,11.96,0.58,0.9,,25.4,10.24,18.2,3.36,5.18,1.05,11.3,0.23,11.08,7.95,0.0,0.0,0.0,1.27,1.51,20.38,2.33,1.8,1.16,0.0,1.33,1.8,3.19,1.12,1.91,15.02,3.28,17.66,0.4,74.19,2.79,37.76,13.28,148.74,11.18,3.75,143.4,0.47,39.52,7.82,1.8,1.48,0.58,16.91,0.88,71.3,18.68,21.67,,21.67,21.67,1.22,0.0,1.8,3.69,0.23,2.23,37.67,32.95,2.8,3.6,22.94,13.15,24.33,43.36,1.11,1.41,10.92,0.24,22.56,14.87,7.68,3.43,0.49,4.41,1.31,1.8,5.88,1.47,1.31,1.14,0.0,0.0,5.39
248,LA,F,3,7.07,57.52,165.5,212.03,8.53,50.16,130.09,7.7,81.94,83.2,55.05,114.51,16.82,2.3,3.65,90.87,1.53,4.59,0.62,0.0,0.0,16.11,2.56,0.0,8.6,8.6,76.64,30.49,6.44,4.34,53.36,2.42,0.0,0.0,,25.36,10.67,13.0,0.74,1.89,4.46,10.65,7.71,5.38,5.38,7.17,0.0,0.34,2.99,0.0,10.89,1.29,1.95,1.0,0.0,1.29,0.74,2.19,1.84,0.36,9.54,4.2,32.7,1.21,134.75,0.98,49.14,25.6,117.64,22.9,3.19,112.56,2.14,51.55,16.05,0.0,0.0,0.98,15.66,5.32,69.02,17.96,14.85,,14.85,14.85,4.32,1.7,6.29,1.21,0.97,1.89,26.68,32.71,3.15,12.94,15.83,0.74,53.82,50.5,1.44,0.0,19.53,0.55,35.36,31.32,4.04,7.53,5.67,2.4,0.22,1.09,9.93,0.33,5.13,2.95,0.55,2.51,2.18
257,LB,F,3,8.29,49.24,160.95,224.49,10.01,44.1,144.93,8.99,79.56,101.52,51.09,47.03,3.91,1.27,1.06,32.83,0.9,0.93,0.3,0.0,0.0,13.5,4.35,2.32,4.73,3.46,210.73,73.93,14.22,2.03,65.02,3.32,1.27,0.0,,20.65,6.6,6.87,3.94,8.29,3.78,7.6,3.67,10.46,8.88,2.71,0.0,0.0,1.57,1.98,7.51,1.54,1.66,1.52,1.64,0.92,0.64,4.81,2.62,2.96,22.87,6.73,51.42,0.31,166.16,4.49,95.97,35.37,82.68,34.77,2.84,79.84,7.13,34.72,8.23,1.57,0.0,1.4,13.67,3.42,78.69,8.65,13.58,,13.58,13.58,4.75,1.01,1.27,1.66,0.9,0.0,36.84,36.99,2.29,9.85,20.43,9.89,42.73,63.53,0.0,0.0,26.93,0.56,41.46,35.78,5.68,11.36,2.84,3.26,0.53,1.79,13.99,3.47,6.52,2.21,0.21,0.95,2.95
266,LC,F,3,4.58,61.97,120.94,152.18,10.23,50.05,96.17,9.4,56.02,82.85,38.09,76.31,7.25,4.36,0.82,56.97,0.32,1.29,1.57,4.32,0.0,11.78,4.6,0.0,3.03,3.03,54.1,205.15,17.53,0.44,55.34,4.68,0.0,1.23,,43.74,22.4,29.31,5.29,1.32,6.68,1.07,1.94,17.9,12.75,1.94,0.0,0.34,1.72,4.38,16.13,2.42,3.72,1.75,2.49,0.44,0.0,2.92,1.89,0.82,16.2,3.7,22.58,1.22,141.83,1.7,47.42,22.6,112.11,21.17,3.82,106.97,3.19,40.14,3.8,0.0,0.0,1.89,11.03,2.33,66.36,22.21,6.57,,6.57,6.57,2.2,0.0,0.0,2.94,3.24,12.29,22.42,32.63,3.15,7.31,10.92,2.25,32.38,48.5,1.22,1.72,14.95,0.22,22.88,19.82,3.06,6.12,2.83,1.7,0.11,0.68,4.19,0.79,2.6,0.11,0.0,0.68,1.47
275,LD,F,3,3.45,54.76,214.81,187.61,8.04,49.3,77.08,6.76,110.53,127.49,22.75,64.55,3.11,6.74,2.77,41.59,0.72,5.25,0.0,0.0,0.0,11.63,3.48,3.03,7.85,6.67,130.23,39.23,9.99,1.26,69.93,1.17,0.0,1.93,,31.23,11.8,8.91,1.88,3.57,3.96,3.05,3.07,9.14,9.14,2.73,0.0,0.0,4.3,0.63,3.92,3.49,4.2,1.59,0.95,1.53,1.17,4.32,1.11,3.11,18.86,5.19,7.35,0.63,72.94,3.69,37.77,12.41,64.6,11.72,7.87,56.73,5.48,51.19,6.67,5.19,2.97,0.52,24.36,1.78,94.3,7.17,8.2,,8.2,8.2,4.03,0.0,2.09,1.48,1.22,12.1,37.54,49.51,4.93,8.5,17.1,9.14,71.77,77.06,1.21,0.92,10.01,0.29,17.23,14.18,3.04,4.0,1.74,1.22,0.0,1.04,3.91,0.61,1.13,1.74,0.0,0.96,0.78
284,MB,F,3,7.23,71.17,204.3,240.34,12.51,79.5,153.25,10.22,87.1,228.48,68.81,94.14,8.77,12.12,7.13,66.57,1.62,0.95,0.0,2.56,0.0,12.57,1.54,2.04,6.45,3.23,2.04,42.92,11.45,1.15,21.62,0.0,0.0,0.0,,13.3,5.96,26.51,1.61,2.56,3.04,2.53,7.76,1.61,1.61,7.48,0.0,0.51,4.84,3.78,10.76,5.06,2.53,3.17,0.95,3.38,2.53,6.92,3.04,2.06,20.96,46.26,34.56,0.0,196.21,6.92,108.2,29.78,303.38,27.75,8.92,292.41,18.78,109.1,19.43,12.12,4.84,3.88,56.68,5.03,78.3,12.18,27.2,,27.2,27.2,4.2,1.83,3.91,2.56,3.29,8.49,37.53,51.42,4.43,11.37,8.53,1.61,48.22,174.53,0.65,1.61,20.98,0.34,36.14,31.03,5.11,9.06,6.91,1.88,0.0,1.26,8.07,1.08,1.35,0.63,0.0,2.51,1.61
293,MC,F,3,4.55,73.75,232.5,218.95,13.93,77.51,111.8,11.86,107.16,207.2,37.69,89.88,4.86,3.78,4.67,69.07,0.0,7.49,0.0,0.0,0.0,15.52,3.21,1.32,2.07,2.07,32.28,99.43,26.77,5.3,74.93,0.0,0.0,0.0,,13.58,15.81,15.68,9.24,1.62,6.16,5.27,1.78,5.0,2.93,0.84,0.0,0.0,2.07,3.83,12.76,4.86,1.5,7.21,1.14,2.53,1.5,10.58,3.23,5.4,31.49,15.39,35.75,2.21,230.96,8.37,91.81,21.47,318.78,16.83,0.0,318.78,11.67,75.75,4.14,8.31,0.0,1.23,52.32,6.54,127.25,9.27,18.22,,18.22,16.61,1.74,0.99,4.32,9.12,1.47,4.14,47.27,41.87,5.42,9.14,21.73,3.03,58.41,161.38,1.48,3.95,12.75,0.17,22.76,17.19,5.57,5.57,3.61,1.56,0.1,0.88,3.71,1.76,0.98,0.1,0.0,0.29,2.34
302,MD,F,3,9.01,68.37,150.17,234.11,11.53,67.49,162.34,9.81,71.76,171.78,64.08,118.09,10.54,8.47,2.1,54.56,1.04,0.0,0.0,9.19,0.0,13.32,1.97,3.07,6.79,6.79,0.0,40.06,22.75,4.42,30.22,6.12,7.27,0.0,,26.87,9.34,20.35,3.04,0.0,5.78,3.07,4.06,7.66,2.55,3.44,5.11,0.0,0.0,0.0,11.39,3.07,15.36,3.83,3.07,2.58,10.23,8.99,2.64,4.58,23.92,14.62,36.4,0.0,177.46,8.99,86.86,23.21,288.6,21.77,17.66,267.87,13.55,77.89,19.49,3.07,0.0,2.28,39.75,6.71,69.97,24.78,7.16,,7.16,7.16,4.18,2.06,5.1,0.0,0.49,4.23,38.78,33.0,0.98,11.39,20.38,6.29,32.99,138.78,0.0,0.0,28.32,0.36,45.07,37.33,7.74,7.05,6.36,2.06,0.0,1.89,17.37,1.2,3.44,0.34,0.0,1.2,3.61
347,OA,F,3,6.42,57.17,198.74,221.64,11.99,54.34,132.06,10.59,89.59,139.25,60.43,127.84,6.62,11.36,4.3,68.09,1.57,0.0,1.24,12.38,0.0,11.2,2.05,0.0,5.15,5.15,36.53,64.72,10.03,1.15,29.22,0.0,0.0,0.0,,11.8,11.59,14.92,7.6,3.3,3.05,1.97,1.62,13.89,9.05,0.75,0.0,0.0,1.02,0.42,1.76,2.0,4.63,0.84,1.18,2.0,4.63,10.01,4.59,4.53,41.29,38.32,46.12,2.73,314.87,7.28,143.92,28.29,157.89,26.23,16.81,141.07,7.8,68.36,17.08,8.72,0.0,2.75,46.57,3.89,75.79,6.24,21.09,,21.09,21.09,4.03,4.31,0.0,0.0,3.29,8.2,25.6,12.95,2.04,1.18,13.45,5.04,36.39,82.45,0.82,0.0,20.96,0.85,32.11,25.91,6.2,8.27,2.89,1.93,0.28,1.38,8.41,0.83,2.76,1.24,2.62,0.0,2.07
356,OB,F,3,5.32,90.97,272.18,257.59,15.6,59.22,167.13,13.63,90.46,196.75,40.87,136.83,2.39,17.38,3.53,78.77,3.33,4.53,0.43,8.24,0.0,34.89,4.63,1.96,7.22,6.04,57.87,119.44,32.9,2.33,57.46,1.38,1.38,1.97,,30.18,37.37,60.64,2.67,8.94,4.17,3.34,0.0,7.44,6.86,0.0,0.0,1.14,6.23,2.32,19.13,3.69,4.83,1.78,1.02,2.88,4.83,12.17,4.24,9.74,38.75,55.09,44.63,0.42,275.59,11.75,148.32,22.66,178.15,19.82,17.09,159.35,6.79,96.28,23.17,6.31,1.6,2.45,44.87,4.78,102.33,18.86,18.3,,18.3,14.33,18.14,0.0,0.0,3.88,2.39,8.64,41.01,38.45,6.99,7.57,23.61,8.2,45.33,138.01,0.0,4.52,15.99,2.47,26.62,21.38,5.24,6.21,1.79,1.52,0.0,0.83,8.97,2.35,1.93,2.48,1.38,0.0,3.86
401,QA,F,3,11.19,129.23,276.04,354.48,9.52,61.77,269.26,8.49,85.21,102.34,105.29,112.35,13.01,21.39,7.99,33.41,0.92,0.0,0.28,0.0,0.0,6.97,1.13,0.0,1.0,1.0,1.32,21.56,11.45,0.0,15.9,1.0,1.32,3.14,,21.78,5.55,11.91,0.91,0.0,3.19,8.78,12.17,12.67,5.4,11.37,6.27,3.26,0.0,0.93,9.36,3.03,7.28,4.34,0.0,1.26,3.29,19.39,2.18,17.06,106.44,11.86,18.23,1.74,80.35,17.65,137.85,53.69,289.86,50.96,43.04,246.82,42.66,104.35,32.93,17.52,4.73,4.18,32.21,4.18,48.11,4.32,14.44,,14.44,14.44,22.61,2.97,0.91,2.09,0.28,4.13,53.8,88.62,4.12,19.44,19.2,7.28,27.26,12.81,3.87,0.91,30.1,1.26,55.94,51.6,4.33,14.87,13.98,0.98,0.0,0.39,13.89,0.39,6.79,4.53,1.48,3.84,1.08
410,QB,F,3,7.23,112.64,362.96,342.91,14.26,68.89,276.65,13.11,66.26,114.36,153.57,304.84,9.51,25.53,48.2,184.94,8.98,5.63,1.14,5.75,0.0,9.06,1.11,0.0,10.09,10.09,7.62,29.29,4.96,0.76,10.85,0.0,0.0,1.96,,11.18,11.38,19.97,0.0,0.0,2.31,0.0,3.17,12.66,1.71,3.17,9.87,1.02,4.02,4.82,11.38,4.97,4.03,9.31,2.88,1.25,0.85,19.14,2.31,14.99,66.83,10.91,38.83,1.63,114.59,17.51,116.56,57.78,539.67,56.3,62.07,454.55,26.35,91.08,17.36,7.86,10.27,3.37,41.67,4.13,52.51,6.06,44.26,,44.26,39.13,25.58,8.0,2.01,2.95,1.13,2.01,25.67,53.03,1.94,11.3,6.15,9.3,39.33,60.25,1.25,1.08,17.7,1.7,36.16,33.76,2.4,13.69,7.77,0.28,0.0,0.09,7.95,0.18,3.05,1.29,2.87,1.11,0.37
419,QC,F,3,7.06,86.78,189.98,234.24,9.23,60.2,203.35,8.75,30.89,47.81,104.41,235.18,35.57,52.4,7.18,100.72,0.83,8.35,0.29,0.89,0.0,6.63,0.51,0.0,0.89,0.89,0.0,8.6,2.66,0.0,3.75,0.0,0.0,1.9,,1.78,12.55,3.15,1.02,4.84,2.03,2.79,6.37,10.69,1.85,6.37,7.94,1.84,5.45,0.56,3.91,1.68,2.34,1.58,0.0,0.35,1.17,13.55,1.93,11.76,75.41,4.97,25.95,0.96,85.73,12.59,107.36,41.66,239.26,40.84,53.77,185.49,33.1,142.18,13.56,34.71,20.94,7.47,64.61,7.47,68.36,1.77,32.75,,32.75,30.85,16.4,8.9,0.0,1.77,0.25,1.85,19.23,36.01,2.01,7.56,8.72,4.77,9.67,11.8,1.99,0.0,15.02,1.27,35.31,34.17,1.14,11.27,11.62,0.17,0.0,0.09,6.73,0.09,2.88,1.31,2.27,1.84,0.26
