,county,sex,xiang,m001,m002,m003,m004,m005,m006,m007,m008,m009,m010,m011,m012,m013,m014,m015,m016,m017,m018,m019,m020,m021,m022,m023,m024,m025,m026,m027,m028,m029,m030,m031,m032,m033,m034,m035,m036,m037,m038,m039,m040,m041,m042,m043,m044,m045,m046,m047,m048,m049,m050,m051,m052,m053,m054,m055,m056,m057,m058,m059,m060,m061,m062,m063,m064,m065,m066,m067,m068,m069,m070,m071,m072,m073,m074,m075,m076,m077,m078,m079,m080,m081,m082,m083,m084,m085,m086,m087,m088,m089,m090,m091,m092,m093,m094,m095,m096,m097,m098,m099,m100,m101,m102,m103,m104,m105,m106,m107,m108,m109,m110,m111,m112,m113,m114,m115,m116,m117,m118,m119
428,RA,F,3,9.32,92.85,241.57,297.7,19.46,95.24,202.56,18.41,95.13,104.82,97.16,169.02,4.08,20.5,3.86,37.57,0.8,6.34,0.0,0.0,0.0,15.35,4.93,0.0,2.08,2.08,1.34,9.56,9.91,2.25,21.1,2.11,2.87,0.0,,393.4,18.62,9.62,12.39,0.0,3.72,2.97,3.43,4.22,4.22,2.51,0.0,0.79,2.69,0.8,16.1,7.41,7.78,1.56,1.52,5.93,0.76,19.26,1.69,9.62,58.19,0.0,19.88,3.85,79.91,15.4,88.97,93.16,863.15,82.49,94.91,760.43,13.34,163.06,67.22,21.68,3.65,1.89,53.74,4.14,74.84,5.08,20.37,,20.37,18.49,14.1,1.8,0.0,21.84,0.72,4.08,53.03,40.69,7.86,6.2,16.9,6.02,39.04,61.52,3.06,2.61,26.61,1.42,46.6,39.66,6.94,27.26,3.59,1.36,0.0,1.12,4.83,1.61,1.36,0.5,0.0,0.74,1.24
437,SA,F,3,5.52,47.19,191.16,201.63,12.07,58.91,123.82,11.32,77.81,75.39,39.78,47.92,0.76,1.83,4.71,29.77,2.26,2.71,0.0,0.69,0.0,8.9,2.37,1.36,5.65,5.65,22.23,64.05,20.56,1.95,34.91,2.09,0.0,0.0,,24.8,11.95,13.02,5.74,5.85,5.14,9.58,5.46,15.17,13.08,3.58,2.09,2.67,0.96,0.86,4.79,7.21,9.53,3.12,3.06,3.36,2.82,5.63,2.22,4.68,72.19,7.05,14.81,0.0,126.17,5.63,96.15,27.16,496.61,20.64,5.75,489.82,12.09,68.24,7.84,3.92,1.83,5.84,32.37,7.79,67.28,20.88,12.88,,12.88,12.88,6.24,0.69,0.0,10.3,3.97,7.51,45.73,37.82,12.4,20.64,21.81,4.14,30.3,33.62,1.79,3.95,17.0,0.63,27.62,19.92,7.7,6.64,1.51,1.21,0.0,0.91,6.04,0.45,2.11,0.45,0.0,0.75,4.83
446,SB,F,3,6.02,48.89,182.27,204.16,12.05,73.76,143.12,11.26,61.04,79.39,57.32,82.02,2.37,2.52,8.71,33.63,1.45,6.11,1.18,16.32,0.0,8.58,4.1,7.93,2.44,2.44,168.76,105.88,4.56,1.5,28.41,1.37,2.44,2.45,,12.72,2.38,49.89,6.04,3.77,2.23,6.27,1.17,5.7,2.83,0.87,0.0,1.31,2.01,0.0,1.67,8.3,8.25,2.4,0.0,6.35,5.79,15.79,2.32,10.85,43.49,5.62,14.73,1.77,161.57,14.02,70.09,36.7,312.51,35.49,17.37,293.77,5.94,62.04,18.83,0.0,5.91,1.68,39.84,3.17,68.25,5.44,15.66,,15.66,15.66,14.1,3.48,0.54,1.61,1.86,4.25,32.89,31.53,1.17,2.44,11.46,6.3,28.15,45.75,0.0,2.1,20.57,1.37,30.11,25.18,4.93,11.33,2.2,2.1,0.0,1.68,6.29,0.63,1.36,1.89,0.0,0.21,1.36
455,SC,F,3,11.01,44.58,146.26,253.56,14.73,65.91,198.39,13.97,55.17,75.62,108.68,116.04,6.94,9.5,14.31,75.38,2.81,5.65,0.81,4.89,0.0,4.68,2.77,5.29,5.41,5.41,122.21,65.64,13.98,0.0,17.74,2.88,0.0,0.0,,14.4,6.69,9.23,0.58,5.19,0.59,3.68,8.79,2.28,1.33,8.79,0.94,1.31,0.94,0.0,3.54,2.4,3.94,7.1,2.39,1.85,3.94,12.75,2.89,10.04,38.91,47.56,16.8,1.63,185.28,11.12,104.21,54.87,630.85,49.46,13.83,612.63,13.88,57.74,18.57,3.24,7.46,4.72,27.82,4.72,45.56,4.1,26.64,,26.64,26.64,8.97,1.16,0.0,0.86,0.49,0.86,41.65,37.12,3.69,10.73,23.55,0.58,13.52,38.5,0.0,0.0,32.27,1.33,55.04,45.98,9.06,16.75,4.61,3.25,0.0,2.73,12.82,2.22,3.76,0.17,0.0,3.08,6.32
464,TA,F,3,7.79,103.28,216.33,264.36,14.8,70.77,193.12,13.34,71.24,145.96,89.71,178.88,9.69,10.35,17.27,127.74,1.11,7.63,0.0,3.57,0.0,6.95,2.81,0.0,0.0,0.0,107.13,58.62,9.91,1.09,19.68,0.0,0.0,0.0,,2.3,11.39,60.26,3.76,1.78,1.14,1.4,1.78,3.21,3.21,1.78,0.0,1.44,1.42,0.83,5.69,1.1,6.91,5.56,3.76,0.55,0.89,10.48,3.4,5.1,46.99,20.4,40.63,1.65,224.38,8.82,116.04,44.93,357.51,38.46,21.54,335.98,36.74,133.16,25.77,8.2,20.43,4.57,64.55,5.66,84.23,8.7,29.3,,29.3,29.3,12.13,8.86,0.0,0.7,0.84,6.24,46.62,85.52,5.68,7.48,8.64,3.19,23.0,55.64,1.61,4.8,20.53,1.46,38.93,34.88,4.05,11.11,10.07,1.35,0.1,1.14,8.2,1.56,1.25,1.45,0.0,0.62,1.35
473,TC,F,3,8.17,44.4,163.0,222.54,12.03,82.03,198.02,11.6,24.52,42.5,83.09,84.73,12.12,10.89,8.48,43.43,0.95,10.54,0.0,0.0,0.0,12.96,3.49,1.71,1.55,1.55,68.82,124.95,14.13,0.46,48.11,5.67,1.55,1.53,,0.0,8.34,58.41,2.74,0.0,4.96,4.1,1.38,4.26,4.26,1.38,0.0,0.0,0.0,1.18,8.22,3.21,14.72,3.25,9.31,1.36,5.24,11.12,2.51,7.74,57.06,18.4,22.09,3.38,150.85,7.74,100.25,40.21,306.11,37.53,17.06,286.95,11.0,108.39,27.56,11.87,6.34,3.94,40.96,4.4,89.07,13.44,25.23,,25.23,19.31,29.88,10.77,0.0,4.79,0.46,1.55,14.06,28.45,4.3,9.72,2.58,2.69,6.56,5.54,0.0,0.0,24.14,3.14,40.85,39.56,1.29,12.59,5.17,1.78,0.65,0.16,16.95,0.48,5.17,3.55,0.16,0.48,0.0
482,TD,F,3,6.91,38.48,166.98,205.11,21.79,134.79,175.03,21.08,30.08,71.23,60.73,147.57,9.1,22.82,10.64,91.23,0.62,9.55,0.0,5.14,0.0,15.13,2.58,3.22,1.2,1.2,13.73,68.88,8.31,2.75,19.63,6.4,1.92,0.0,,14.53,9.51,89.78,3.39,0.0,3.84,0.95,1.55,9.26,4.35,0.83,3.22,0.0,3.9,1.21,17.47,6.55,8.29,3.8,0.95,3.42,5.42,15.45,11.88,7.46,158.18,41.35,161.67,1.8,814.33,13.65,373.58,33.08,322.6,31.06,10.52,309.88,5.02,113.79,22.73,0.0,10.22,1.72,68.3,4.47,87.92,7.12,31.76,,31.76,26.62,16.15,8.33,3.22,3.15,0.41,2.95,10.84,22.52,3.98,8.37,0.83,1.2,16.99,45.99,1.21,2.73,23.16,2.17,34.54,33.39,1.16,10.55,3.76,3.9,2.6,1.01,13.01,1.88,6.94,2.89,0.0,0.29,0.0
491,UA,F,3,6.24,48.14,84.85,151.33,6.5,38.11,122.13,6.01,29.2,48.53,40.34,46.9,1.73,1.0,1.22,20.11,0.35,0.0,0.0,0.0,3.88,12.56,1.4,0.0,24.71,24.71,9.83,15.28,14.12,1.33,26.42,0.87,0.0,1.28,,23.37,9.36,2.52,1.56,1.0,3.63,4.07,1.56,6.93,5.48,0.69,0.0,1.6,4.03,1.62,8.0,2.41,4.9,1.3,0.76,1.52,3.27,6.21,1.25,4.29,14.8,7.55,19.71,0.76,81.44,5.45,43.53,30.55,203.26,29.79,17.35,182.25,9.95,55.94,13.31,5.31,2.45,1.61,21.68,2.94,48.1,12.2,16.08,,16.08,11.74,4.05,0.52,2.67,2.4,1.77,1.87,18.32,25.65,4.12,6.4,8.38,3.32,9.84,22.89,1.04,0.0,21.08,0.59,31.18,27.92,3.26,9.43,2.54,2.05,0.24,0.85,10.76,5.2,1.81,1.57,0.12,0.24,1.33
500,UB,F,3,3.25,34.37,99.22,112.91,7.24,55.5,78.0,6.75,34.91,49.04,10.16,47.61,0.48,1.01,1.0,33.25,0.0,1.34,0.0,2.9,0.0,12.89,2.02,1.16,24.4,24.4,3.05,18.52,9.8,3.21,41.1,1.28,2.55,3.13,,42.64,13.32,15.94,2.89,1.48,3.72,5.89,1.03,7.87,5.64,0.15,0.0,2.05,3.99,1.04,5.52,4.14,2.29,0.74,0.0,2.38,1.73,6.29,1.51,4.78,29.69,3.07,17.41,0.15,97.11,6.15,54.17,8.68,199.72,6.98,5.88,188.33,1.88,37.07,11.22,1.34,1.14,1.0,20.93,4.2,62.03,4.7,12.02,,12.02,11.64,2.46,0.21,0.73,2.97,0.29,4.79,21.74,17.91,3.06,6.31,14.51,3.04,12.15,30.02,0.6,0.66,9.86,0.3,16.24,12.4,3.84,1.74,0.36,1.74,0.31,0.92,7.22,3.18,1.23,1.38,0.0,0.05,3.48
518,UD,F,3,10.81,108.62,173.97,284.89,10.27,58.48,198.58,9.26,86.31,100.66,68.52,91.8,2.91,0.0,0.99,76.19,0.0,0.0,2.58,7.1,0.0,19.51,3.13,0.0,6.62,6.62,17.58,51.72,10.95,3.75,58.79,2.08,0.0,5.87,,63.7,23.1,41.31,8.85,0.92,5.24,1.48,0.48,25.43,22.65,0.48,0.0,1.55,3.15,0.0,4.44,6.95,2.17,6.43,0.0,2.99,2.17,7.61,1.77,5.2,13.3,5.23,40.5,0.0,110.61,7.61,66.46,43.56,206.26,42.16,2.6,200.3,6.37,52.82,10.62,0.0,0.0,2.58,35.89,6.34,94.68,9.33,32.27,,32.27,30.33,16.59,6.12,0.0,0.7,8.14,11.66,58.1,38.97,18.37,8.3,25.23,6.33,24.82,50.37,1.01,0.0,30.22,2.17,54.06,47.01,7.05,13.6,2.01,1.34,0.0,1.18,22.83,0.17,12.76,2.85,0.5,0.17,5.04
536,UF,F,3,9.21,63.28,65.27,187.02,6.27,37.03,146.74,5.87,40.28,40.02,50.97,45.25,1.88,0.0,1.2,22.94,0.63,0.0,0.62,2.77,0.0,6.25,1.76,1.35,5.23,3.03,74.27,24.09,10.6,1.87,21.2,0.46,0.0,0.0,,11.0,2.64,17.95,1.7,0.0,1.02,4.03,1.69,18.03,5.69,0.39,2.17,0.71,0.0,0.31,4.39,1.01,0.0,0.67,0.0,0.35,0.0,2.61,1.93,0.74,14.18,33.2,39.58,0.6,84.84,2.01,107.73,40.42,70.57,38.13,11.85,56.81,14.67,39.92,11.62,0.0,2.45,1.56,17.07,3.43,38.27,3.69,5.42,,5.42,5.42,3.74,1.07,0.0,2.07,3.45,41.99,27.0,19.22,3.29,3.31,13.49,2.37,11.01,18.11,0.69,1.75,30.52,0.54,46.07,40.47,5.61,12.1,3.85,2.86,0.0,1.65,16.93,12.54,3.3,0.0,0.22,0.0,2.64
545,VA,F,3,5.83,54.5,191.99,208.52,15.54,118.96,169.17,14.65,39.35,88.56,64.31,115.44,19.28,16.77,11.41,53.71,3.38,25.63,0.51,1.58,0.0,8.95,3.53,0.0,8.1,8.1,25.52,137.56,6.56,0.47,73.65,12.72,0.0,0.0,,6.29,14.22,52.51,1.58,0.0,2.89,5.73,0.0,0.0,0.0,0.0,0.0,0.0,4.95,0.98,5.29,3.7,0.0,3.3,0.0,1.37,0.0,7.18,4.19,4.19,64.66,25.32,64.13,1.54,226.68,5.64,192.41,26.92,388.24,25.33,16.41,371.82,12.59,133.96,23.09,0.0,11.41,2.93,79.17,3.4,152.82,11.7,40.52,,40.52,40.52,26.55,0.0,0.0,1.34,4.14,20.26,20.01,38.44,11.18,7.2,1.63,0.0,17.24,50.12,0.98,0.0,19.32,2.21,29.13,28.06,1.07,8.22,5.18,2.32,0.54,1.43,9.65,1.79,3.93,1.07,0.0,0.0,0.18
554,VB,F,3,5.48,35.43,130.27,162.83,17.72,121.6,128.11,17.24,34.72,48.07,39.17,109.39,4.55,17.34,4.53,63.54,0.0,22.64,0.0,0.0,0.0,15.91,2.86,0.0,12.46,12.46,37.99,90.46,22.88,1.46,15.94,12.52,0.0,0.0,,26.12,5.63,27.41,2.81,18.2,8.03,9.79,0.0,15.26,15.26,0.0,0.0,0.0,4.82,2.58,12.28,3.5,15.24,1.9,7.69,0.7,7.55,8.43,6.58,2.54,45.03,49.74,119.16,1.46,433.04,6.97,225.04,25.7,538.5,23.53,2.1,536.4,4.69,51.67,17.34,0.0,0.0,3.88,29.51,5.33,45.45,0.0,25.94,,25.94,25.94,7.45,2.1,0.0,2.1,0.0,4.91,26.18,20.96,12.43,2.81,8.64,7.69,8.54,27.11,0.0,0.0,19.25,0.83,27.4,25.68,1.71,7.99,1.43,4.28,0.29,2.85,9.99,3.71,2.28,2.28,0.0,0.0,1.43
563,VC,F,3,3.75,46.77,215.62,190.18,12.41,63.56,143.41,11.08,46.78,132.83,53.06,118.7,6.47,16.64,4.28,39.55,3.59,7.95,1.14,8.96,0.0,12.06,4.12,0.0,1.17,1.17,36.41,168.97,6.42,1.49,36.73,0.0,0.98,0.6,,13.67,16.86,118.15,0.93,2.49,2.13,2.66,0.43,2.97,2.19,0.43,0.0,0.49,4.39,1.17,5.97,8.65,15.02,6.24,0.78,3.78,1.21,9.27,1.75,4.78,41.05,10.48,11.77,1.17,98.62,8.11,76.14,22.47,213.9,18.75,38.36,167.33,9.78,136.76,34.63,9.82,18.67,4.44,59.24,5.94,95.97,11.49,52.53,,52.53,45.96,24.59,1.72,2.76,1.92,1.54,0.78,24.29,60.33,2.89,6.61,2.5,0.78,21.61,70.35,0.88,2.16,11.66,1.61,18.76,17.7,1.06,5.45,2.12,1.06,0.0,0.45,6.13,0.91,1.66,0.08,0.0,0.15,0.15
572,WA,F,3,14.6,130.79,218.7,370.88,8.5,20.93,340.54,8.02,30.34,48.13,176.75,98.22,23.57,2.45,7.42,86.9,6.64,3.21,0.0,0.0,0.0,6.62,2.68,0.0,2.45,0.0,90.5,103.98,4.32,3.19,35.0,0.0,0.0,5.84,,3.21,4.99,12.96,0.0,0.0,1.65,4.32,13.35,0.0,0.0,10.01,0.0,1.65,0.0,3.62,7.22,12.42,0.0,10.58,0.0,1.84,0.0,0.0,3.45,0.0,54.87,43.14,40.78,0.0,188.09,0.0,156.98,135.9,15.42,134.12,0.0,15.42,25.36,14.44,0.0,0.0,0.0,1.84,7.22,5.03,42.22,7.22,19.7,,19.7,19.7,55.82,26.11,0.0,0.0,6.53,8.28,18.32,33.66,9.0,2.45,1.78,0.0,12.01,14.47,0.0,0.0,31.56,8.12,72.99,72.4,0.58,40.29,14.6,1.17,0.58,0.58,5.84,1.75,2.92,0.0,0.0,3.5,0.0
581,WB,F,3,12.12,106.3,274.02,360.08,15.93,60.64,325.17,15.32,34.91,60.3,169.53,162.53,26.13,1.22,30.87,140.4,4.8,1.97,0.0,0.0,0.0,12.07,3.99,0.0,0.0,0.0,182.3,83.63,4.13,2.09,43.23,3.94,6.09,0.0,,13.88,13.79,29.62,6.76,0.0,2.03,10.04,1.92,0.0,0.0,1.92,0.0,1.23,4.51,2.9,7.79,14.09,5.16,11.17,5.16,0.42,0.0,20.28,5.88,16.4,66.33,288.78,45.56,0.0,178.99,20.28,409.4,94.83,235.16,91.7,16.13,219.03,14.47,60.2,15.57,0.0,0.0,4.64,38.63,6.73,81.85,4.03,10.33,,10.33,10.33,39.94,36.02,0.0,3.19,2.48,35.71,18.07,45.56,4.51,20.45,6.5,1.22,13.05,11.93,3.79,2.81,35.74,3.69,60.59,58.58,2.01,30.57,8.71,2.01,0.4,0.8,11.93,1.61,5.76,0.67,0.0,0.67,1.21
590,WC,F,3,6.45,93.71,198.55,232.31,12.9,60.43,192.31,12.55,40.0,35.17,70.33,171.92,21.0,25.93,8.38,104.76,0.75,13.19,0.0,0.0,0.0,14.48,2.01,3.03,4.53,4.53,51.7,47.36,10.08,0.0,26.87,0.0,0.0,1.12,,7.09,0.0,27.84,2.42,3.72,4.45,2.42,6.44,25.92,21.87,5.28,0.93,1.1,14.79,2.63,28.16,12.1,3.54,11.49,2.61,0.89,0.93,15.77,3.71,3.25,16.83,62.34,131.13,5.05,157.37,10.72,213.26,32.63,293.86,30.84,16.66,277.2,15.56,62.84,18.42,16.89,4.53,2.95,9.32,2.95,36.19,12.56,46.0,,46.0,38.44,19.73,11.7,0.0,0.0,6.48,41.99,26.08,28.87,6.19,9.66,4.28,0.0,12.45,6.3,0.74,0.0,13.89,2.08,32.23,28.79,3.43,8.19,6.6,1.58,0.13,0.53,3.57,2.64,0.53,0.26,0.0,1.85,1.32
599,XA,F,3,7.96,62.39,174.09,231.0,14.13,140.82,156.0,13.25,75.0,87.93,61.19,64.06,6.07,4.26,7.88,31.73,1.0,9.48,0.0,0.0,0.0,16.85,3.7,0.0,0.0,0.0,36.02,103.24,20.41,1.0,55.73,4.26,3.67,1.54,,32.71,17.28,54.03,13.62,11.44,7.5,5.29,2.86,5.69,5.69,0.5,0.0,0.0,4.26,0.53,21.74,6.31,3.56,1.86,1.54,3.91,2.01,6.06,4.59,4.28,62.87,19.97,119.44,0.53,249.05,5.53,210.4,44.25,307.9,42.5,18.59,289.3,6.89,80.94,24.4,8.53,0.0,2.23,33.82,3.23,89.55,10.52,13.96,,13.96,13.96,8.88,7.3,0.0,0.0,2.17,4.46,42.14,44.45,6.14,14.92,12.03,3.35,31.19,41.46,1.67,2.01,27.41,0.95,39.79,33.68,6.11,14.31,2.97,1.22,0.0,0.52,13.26,4.54,3.14,2.27,0.0,0.17,2.44
608,XB,F,3,17.07,91.35,259.99,418.57,13.94,126.59,359.37,13.39,59.2,54.82,120.41,121.61,33.91,21.55,7.82,61.69,7.96,10.04,0.0,6.69,0.0,16.48,3.56,0.0,4.47,4.47,17.42,216.23,7.52,0.5,27.49,1.86,3.86,0.0,,13.63,1.58,45.1,0.0,1.58,5.54,5.92,3.34,4.47,4.47,2.05,0.0,1.67,0.0,1.17,4.47,6.35,3.17,4.25,1.86,4.25,1.31,13.28,3.82,7.89,80.35,38.57,18.52,1.27,237.08,12.01,144.74,51.34,247.73,50.07,21.63,217.77,23.49,194.17,42.49,4.47,16.75,4.91,115.93,5.41,143.43,8.56,35.71,,35.71,30.05,24.82,1.31,0.0,8.61,0.0,0.0,28.76,27.27,5.81,1.58,2.27,1.58,29.94,25.68,0.0,1.86,57.35,1.62,85.37,82.21,3.16,14.02,11.04,4.21,1.4,0.18,49.43,4.56,31.38,8.59,0.0,0.53,0.35
617,YA,F,3,3.45,134.49,77.99,132.34,11.52,39.98,91.83,11.39,40.51,12.94,49.74,56.62,0.0,0.0,4.76,13.78,6.59,15.25,0.0,0.0,0.0,8.94,4.77,0.0,0.0,0.0,98.25,127.31,15.84,4.47,58.55,0.0,0.0,0.0,,44.27,44.03,65.27,0.0,15.25,0.0,0.0,4.42,0.0,0.0,0.0,0.0,0.0,0.0,4.42,28.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,0.0,15.25,26.08,39.19,0.0,208.17,0.0,80.51,32.9,219.77,32.9,15.25,204.53,0.0,61.49,0.0,0.0,29.82,0.0,0.0,4.47,58.55,0.0,6.59,,6.59,6.59,8.89,0.0,0.0,15.25,0.0,0.0,36.26,0.0,0.0,0.0,0.0,0.0,4.25,12.94,0.0,0.0,5.22,1.29,17.27,15.36,1.92,11.52,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0
