,county,sex,xiang,m001,m002,m003,m004,m005,m006,m007,m008,m009,m010,m011,m012,m015,m016,m017,m018,m021,m022,m023,m025,m027,m028,m029,m030,m031,m033,m035,m036,m037,m038,m039,m040,m041,m042,m043,m044,m045,m048,m049,m058,m059,m060,m061,m062,m063,m064,m065,m066,m067,m068,m069,m070,m071,m072,m073,m074,m075,m077,m086,m087,m088,m103,m104,m105,m106,m107,m113,m117
2,AA,M,3,3.67,72.03,124.01,143.89,14.87,97.1,80.0,13.95,63.9,92.12,16.63,172.86,0.78,103.03,0.26,0.43,28.07,14.0,5.44,5.34,95.11,156.31,18.09,2.83,105.99,5.42,105.56,,,,4.79,7.04,2.67,4.52,0.67,4.99,3.59,1.34,1.35,9.78,2.51,0.45,13.69,10.68,10.72,0.25,176.91,9.53,73.69,9.95,302.49,6.76,15.19,214.69,4.52,80.78,8.73,2.15,15.59,,,14.44,,18.36,10.61,7.75,4.13,0.0
5,AA,F,3,3.2,42.49,74.48,100.46,7.67,59.48,60.57,7.24,39.89,43.23,11.49,82.56,2.41,44.56,0.0,2.2,13.6,10.34,2.42,1.08,24.63,57.72,15.59,1.24,40.03,1.75,,29.18,10.78,12.67,2.08,1.57,3.5,7.37,1.06,5.13,3.95,0.72,5.88,9.17,1.92,1.61,19.89,8.89,9.01,0.92,135.01,8.25,56.51,5.05,106.15,3.31,9.24,77.83,2.41,49.04,2.7,3.16,12.62,1.0,0.0,12.64,0.31,16.02,9.71,6.3,4.73,0.09
8,AA,T,3,3.44,57.26,99.25,122.17,11.27,78.29,70.28,10.6,51.9,67.67,14.06,127.71,1.6,73.8,0.13,1.32,20.84,12.17,3.93,3.21,59.87,107.02,16.84,2.04,73.01,3.58,,,,,3.44,4.3,3.08,5.95,0.87,5.06,3.77,1.03,3.62,9.47,2.21,1.03,16.79,9.79,9.87,0.59,155.96,8.89,65.1,7.5,204.32,5.04,12.21,146.26,3.46,64.91,5.72,2.66,14.11,,,13.54,,17.19,10.16,7.03,4.43,0.04
11,AB,M,3,5.01,67.69,138.61,170.09,16.66,110.54,91.44,15.81,78.66,85.59,29.91,351.65,4.18,195.05,1.01,3.38,91.76,12.92,5.16,5.85,71.07,171.88,45.78,1.85,101.78,0.77,79.23,,,,4.8,3.91,2.58,8.16,1.81,4.61,4.61,0.5,1.09,13.46,2.1,1.53,10.39,7.02,7.58,1.55,148.25,11.91,61.62,14.94,399.23,12.9,20.35,375.96,4.58,58.61,15.45,2.01,21.42,,,13.81,,25.04,14.33,10.71,3.97,0.0
14,AB,F,3,3.84,51.36,101.97,127.78,8.83,65.11,80.46,8.41,47.33,41.93,23.16,149.44,2.8,33.97,0.77,0.84,84.7,15.21,2.81,2.04,31.17,65.81,42.62,0.79,46.65,0.0,,27.54,8.05,20.67,1.66,1.1,3.59,5.4,1.3,4.4,3.6,0.24,1.76,9.52,1.53,1.0,9.76,12.53,3.14,0.86,100.11,8.66,53.3,10.83,157.18,9.02,14.47,141.77,1.0,46.74,5.03,0.8,19.69,1.75,0.4,11.57,0.37,19.19,11.97,7.22,3.75,0.0
17,AB,T,3,4.42,59.52,120.29,148.94,12.75,87.83,85.95,12.11,62.99,63.76,26.54,250.54,3.49,114.51,0.89,2.11,88.23,14.07,3.99,3.94,51.12,118.84,44.2,1.32,74.22,0.39,,,,,3.23,2.51,3.08,6.78,1.56,4.51,4.11,0.37,1.43,11.49,1.82,1.27,10.08,9.78,5.36,1.21,124.18,10.29,57.46,12.88,278.21,10.96,17.41,258.87,2.79,52.68,10.24,1.41,20.56,,,12.69,,22.12,13.15,8.96,3.86,0.0
20,AC,M,3,3.97,77.18,118.0,146.22,15.07,104.73,78.25,14.26,67.97,80.21,25.94,213.13,2.67,129.88,0.38,1.9,49.83,8.63,4.41,3.02,70.71,141.87,24.61,1.03,89.83,3.36,70.33,,,,2.42,1.56,1.86,4.26,0.48,2.97,2.57,0.66,1.46,9.28,2.1,0.38,6.96,7.03,8.17,0.61,133.59,8.66,76.59,12.3,405.19,9.99,11.52,279.48,3.75,80.99,4.13,9.4,11.74,,,9.09,,19.86,11.52,8.34,3.35,0.0
23,AC,F,3,3.13,47.66,71.48,99.12,8.27,67.32,62.52,7.93,36.6,34.09,18.13,87.79,2.08,34.47,0.0,3.11,23.45,9.25,2.22,1.42,17.82,51.55,31.11,0.86,42.51,1.41,,21.76,9.53,12.03,1.8,2.25,1.72,5.12,0.0,2.71,1.65,0.27,4.47,7.5,1.69,1.02,16.19,5.71,6.59,0.27,109.99,7.23,59.35,11.05,201.48,8.67,10.6,148.74,2.88,50.3,0.82,3.29,15.61,2.33,0.0,7.63,0.45,15.63,9.32,6.31,2.31,0.0
26,AC,T,3,3.55,62.42,94.74,122.67,11.67,86.03,70.39,11.1,52.29,57.15,22.04,150.46,2.38,82.17,0.19,2.5,36.64,8.94,3.32,2.22,44.27,96.71,27.86,0.95,66.17,2.38,,,,,2.11,1.91,1.79,4.69,0.24,2.84,2.11,0.47,2.96,8.39,1.9,0.7,11.58,6.37,7.38,0.44,121.79,7.95,67.97,11.68,303.33,9.33,11.06,214.11,3.31,65.64,2.48,6.35,13.68,,,8.36,,17.75,10.42,7.33,2.83,0.0
29,BA,M,3,8.42,113.88,124.89,224.26,20.41,97.38,177.03,19.55,47.23,86.01,88.59,205.66,4.87,101.61,2.88,10.12,0.0,8.87,8.07,5.11,574.98,80.63,14.19,0.0,50.12,0.0,57.93,,,,4.41,1.99,1.83,1.58,1.36,12.51,10.65,2.63,6.87,13.07,3.43,2.45,12.16,61.47,46.42,0.23,206.79,12.84,136.1,37.34,366.03,32.98,22.33,285.1,14.91,156.0,37.08,8.87,23.93,,,31.63,,42.12,38.39,3.73,12.92,6.12
32,BA,F,3,8.45,97.22,127.36,221.32,13.79,97.72,194.89,13.57,26.44,21.6,101.12,136.95,12.14,64.05,3.03,6.83,0.0,6.08,4.93,2.89,308.65,40.51,9.67,0.68,25.0,0.94,,28.55,5.13,48.74,4.7,1.84,1.1,4.84,1.28,4.93,3.99,3.44,3.96,17.59,3.42,3.79,30.88,47.64,50.0,2.08,203.62,15.5,138.34,44.99,254.13,39.76,20.17,213.3,13.84,75.13,12.25,3.56,16.22,9.8,9.26,26.06,3.53,42.27,39.56,2.71,11.02,5.69
35,BA,T,3,8.44,105.55,126.13,222.79,17.1,97.55,185.96,16.56,36.84,53.81,94.86,171.31,8.51,82.83,2.96,8.47,0.0,7.47,6.5,4.0,441.81,60.57,11.93,0.34,37.56,0.47,,,,,4.56,1.92,1.47,3.21,1.32,8.72,7.32,3.04,5.42,15.33,3.43,3.12,21.52,54.55,48.21,1.16,205.21,14.17,137.22,41.17,310.08,36.37,21.25,249.2,14.38,115.56,24.66,6.21,20.07,,,28.84,,42.2,38.98,3.22,11.97,5.91
38,BB,M,3,4.38,112.56,143.68,176.86,14.86,81.19,113.58,13.97,63.28,89.16,53.01,77.44,7.78,45.86,1.85,3.57,0.0,13.49,5.55,3.93,301.26,104.84,12.24,1.92,45.44,2.95,59.51,,,,1.27,3.49,3.71,4.39,2.56,1.73,1.73,2.05,2.5,10.93,3.21,2.68,18.04,47.26,58.38,0.0,183.59,10.93,137.22,17.8,254.64,15.81,15.53,232.62,3.64,108.51,38.49,6.42,26.29,,,9.91,,21.91,18.96,2.95,8.28,4.79
41,BB,F,3,4.28,70.01,99.73,138.1,11.96,59.72,113.14,11.5,24.96,46.29,53.86,86.92,9.31,49.14,3.93,10.95,0.0,6.1,3.19,7.38,96.98,40.6,7.7,0.38,19.33,0.0,,25.73,6.42,83.7,3.81,5.16,2.92,4.66,1.33,10.78,7.2,2.83,5.34,9.92,3.75,4.33,38.45,44.33,38.68,0.82,250.69,9.11,123.88,24.6,220.64,22.53,15.47,200.49,7.3,64.8,12.57,7.29,21.23,5.37,2.41,9.98,1.83,21.39,19.91,1.48,6.78,3.18
44,BB,T,3,4.33,91.29,121.71,157.48,13.41,70.45,113.36,12.74,44.12,67.72,53.44,82.18,8.54,47.5,2.89,7.26,0.0,9.79,4.37,5.66,199.12,72.72,9.97,1.15,32.38,1.48,,,,,2.54,4.33,3.31,4.53,1.95,6.25,4.46,2.44,3.92,10.43,3.48,3.51,28.25,45.8,48.53,0.41,217.14,10.02,130.55,21.2,237.64,19.17,15.5,216.56,5.47,86.66,25.53,6.86,23.76,,,9.95,,21.65,19.44,2.22,7.53,3.99
47,BC,M,3,8.97,51.65,97.48,198.65,9.63,61.6,161.63,9.06,37.01,56.58,63.39,79.4,3.54,49.93,2.48,8.17,0.0,9.76,3.03,3.03,60.17,56.42,22.55,1.55,73.48,1.24,49.84,,,,12.45,3.94,2.75,3.44,2.46,3.91,3.91,2.13,1.51,14.46,2.35,4.51,21.74,15.82,40.86,0.74,149.96,13.72,85.28,14.42,157.36,13.27,6.59,146.33,9.99,103.21,23.76,6.22,11.79,,,47.09,,44.87,40.39,4.48,25.36,8.95
50,BC,F,3,8.18,50.83,88.08,181.77,9.42,54.37,153.52,9.19,28.25,22.48,62.01,77.38,7.0,43.68,3.53,8.53,0.0,9.06,2.37,2.94,43.47,22.94,13.87,0.63,32.41,0.71,,42.89,8.85,19.95,3.63,2.46,3.87,4.7,4.39,7.66,7.66,0.62,1.93,12.07,2.08,5.77,28.13,29.33,30.29,0.63,119.75,11.45,87.75,24.11,302.85,21.1,9.52,290.81,3.28,64.73,10.38,0.0,7.36,3.98,1.47,42.68,0.96,40.92,37.25,3.66,21.86,6.23
53,BC,T,3,8.58,51.24,92.78,190.21,9.53,57.98,157.58,9.13,32.63,39.53,62.7,78.39,5.27,46.8,3.0,8.35,0.0,9.41,2.7,2.98,51.82,39.68,18.21,1.09,52.95,0.97,,,,,8.04,3.2,3.31,4.07,3.42,5.79,5.79,1.38,1.72,13.27,2.22,5.14,24.93,22.57,35.58,0.69,134.86,12.59,86.52,19.27,230.11,17.19,8.05,218.57,6.63,83.97,17.07,3.11,9.57,,,44.89,,42.9,38.82,4.07,23.61,7.59
56,CB,M,3,19.34,186.95,194.21,440.65,23.99,101.65,376.77,22.66,63.87,133.01,181.92,126.35,4.03,54.11,0.74,22.39,0.0,10.25,7.36,7.42,260.52,326.72,14.26,0.58,65.19,0.0,22.83,,,,3.49,5.98,3.35,1.93,2.26,12.79,11.63,3.23,4.29,15.52,4.51,0.58,40.99,71.32,27.69,2.66,282.43,12.85,168.32,112.35,526.09,108.42,26.61,427.83,27.11,262.86,66.63,39.34,81.02,,,68.33,,96.69,91.91,4.78,36.4,3.95
59,CB,F,3,17.01,163.12,198.18,402.82,14.93,114.51,377.26,14.68,25.57,24.08,177.02,142.51,14.75,71.87,4.93,10.99,0.0,10.83,4.1,3.77,143.02,98.6,24.24,0.0,21.74,0.0,,8.75,11.06,82.17,0.91,0.0,3.64,1.02,3.25,11.54,8.73,2.61,12.23,15.57,3.53,4.16,83.61,37.21,18.57,0.43,192.39,15.14,160.73,97.95,339.15,89.95,32.17,247.3,21.23,110.37,23.97,9.57,47.26,17.49,13.26,65.4,5.25,85.04,82.17,2.87,32.57,3.37
62,CB,T,3,18.18,175.03,196.2,421.74,19.46,108.08,377.01,18.67,44.72,78.55,179.47,134.43,9.39,62.99,2.83,16.69,0.0,10.54,5.73,5.59,201.77,212.66,19.25,0.29,43.46,0.0,,,,,2.2,2.99,3.5,1.48,2.75,12.16,10.18,2.92,8.26,15.54,4.02,2.37,62.3,54.27,23.13,1.55,237.41,14.0,164.53,105.15,432.62,99.19,29.39,337.56,24.17,186.62,45.3,24.46,64.14,,,66.87,,90.87,87.04,3.83,34.48,3.66
65,CC,M,3,7.18,133.82,175.84,241.29,20.96,90.82,181.67,19.49,59.62,146.44,91.99,144.68,2.64,57.83,0.43,18.23,0.0,8.09,6.64,5.34,225.69,270.84,35.34,0.0,65.04,5.01,22.87,,,,4.94,1.46,2.52,1.63,0.9,2.09,2.09,3.4,7.44,15.83,3.74,4.56,17.5,53.79,39.7,0.95,248.37,14.88,125.71,51.3,487.38,49.37,41.92,421.0,18.1,204.77,65.78,12.35,37.5,,,22.57,,35.9,34.41,1.5,8.23,4.34
68,CC,F,3,6.35,122.41,149.58,211.11,16.06,75.48,183.58,15.73,27.53,33.01,101.8,127.53,14.22,40.86,8.34,14.53,0.0,8.11,4.15,3.49,102.25,94.96,20.45,0.0,23.37,1.52,,6.2,14.61,113.77,12.8,1.14,0.87,20.1,0.0,2.64,2.64,3.92,13.82,19.49,4.87,10.9,25.88,72.14,43.72,2.4,324.48,17.09,162.89,54.32,330.71,49.66,41.71,257.64,11.77,147.02,35.47,7.39,26.71,10.54,6.91,18.94,1.91,31.73,29.66,2.08,6.82,2.52
71,CC,T,3,6.76,128.12,162.71,226.2,18.51,83.15,182.63,17.61,43.58,89.72,96.89,136.11,8.43,49.34,4.38,16.38,0.0,8.1,5.4,4.42,163.97,182.9,27.9,0.0,44.21,3.27,,,,,8.87,1.3,1.7,10.87,0.45,2.37,2.37,3.66,10.63,17.66,4.31,7.73,21.69,62.97,41.71,1.68,286.43,15.99,144.3,52.81,409.05,49.52,41.82,339.32,14.94,175.9,50.63,9.87,32.11,,,20.76,,33.81,32.03,1.79,7.53,3.43
74,CD,M,3,7.44,105.49,131.49,211.58,13.21,95.63,163.26,12.31,48.32,90.06,71.6,78.54,4.17,43.54,2.69,5.73,0.0,6.7,2.76,2.95,81.33,51.38,27.73,0.83,33.1,1.39,55.15,,,,0.0,4.52,1.68,2.94,3.2,5.91,1.77,0.64,1.05,11.96,3.36,2.41,25.42,30.45,68.59,1.68,200.38,10.28,135.92,33.92,363.62,30.77,15.0,327.74,12.97,101.39,28.47,3.49,27.96,,,24.95,,37.21,35.74,1.47,12.86,3.5
77,CD,F,3,5.79,93.06,118.68,177.08,11.26,75.51,160.39,10.87,16.69,39.62,72.59,88.72,11.26,45.27,5.37,18.8,0.0,9.85,2.29,6.1,31.65,28.89,14.05,0.23,16.09,2.47,,14.93,15.91,76.35,0.0,0.0,3.17,4.14,3.94,5.86,0.73,1.38,3.44,13.57,3.47,5.2,46.96,44.23,34.34,1.03,198.55,12.55,148.4,27.37,266.06,25.32,14.37,236.29,12.96,74.28,16.8,0.76,27.46,9.48,3.72,18.61,1.07,28.94,28.2,0.73,9.13,2.45
80,CD,T,3,6.62,99.28,125.09,194.33,12.24,85.57,161.82,11.59,32.51,64.84,72.09,83.63,7.71,44.41,4.03,12.27,0.0,8.28,2.52,4.53,56.49,40.14,20.89,0.53,24.6,1.93,,,,,0.0,2.26,2.42,3.54,3.57,5.89,1.25,1.01,2.25,12.77,3.42,3.81,36.19,37.34,51.47,1.35,199.47,11.42,142.16,30.65,314.84,28.05,14.69,282.01,12.97,87.84,22.64,2.13,27.71,,,21.78,,33.08,31.97,1.1,11.0,2.98
83,DA,M,3,8.98,223.92,120.97,261.33,13.78,87.29,220.22,13.21,41.1,57.54,153.72,294.79,5.6,164.4,1.18,4.37,0.0,5.58,1.83,2.43,84.29,27.37,10.22,0.68,24.52,0.92,14.55,,,,2.78,1.56,1.51,2.98,0.81,9.15,6.87,2.33,12.23,8.05,2.17,4.11,28.61,30.3,18.14,0.7,123.67,7.34,92.88,37.75,302.79,34.81,40.79,219.96,19.42,254.1,62.83,19.25,34.23,,,26.27,,44.88,41.43,3.44,17.22,14.82
86,DA,F,3,8.13,202.93,114.99,239.85,8.52,61.55,211.85,8.21,28.0,31.8,140.06,187.96,8.23,77.49,1.1,6.96,0.0,4.27,1.38,2.47,41.17,14.75,5.58,0.48,13.89,0.37,,8.14,10.9,26.25,1.29,1.46,1.6,0.8,0.77,7.75,6.5,2.99,9.92,10.57,1.35,5.55,23.28,25.02,13.09,1.31,64.45,9.26,70.97,42.07,185.65,36.6,29.7,133.88,16.35,127.17,30.65,7.9,18.9,6.54,5.8,23.54,0.86,40.66,37.95,2.7,13.87,11.51
89,DA,T,3,8.56,213.43,117.98,250.59,11.15,74.42,216.03,10.71,34.55,44.67,146.89,241.38,6.92,120.95,1.14,5.67,0.0,4.92,1.6,2.45,62.73,21.06,7.9,0.58,19.21,0.65,,,,,2.04,1.51,1.56,1.89,0.79,8.45,6.69,2.66,11.08,9.31,1.76,4.83,25.95,27.66,15.62,1.01,94.06,8.3,81.92,39.91,244.22,35.71,35.24,176.92,17.89,190.63,46.74,13.58,26.56,,,24.91,,42.77,39.69,3.07,15.54,13.17
92,DB,M,3,8.92,177.83,190.34,287.07,23.67,132.54,205.63,22.57,81.43,109.55,131.13,148.8,8.44,78.7,2.86,13.58,0.0,9.53,9.57,4.03,673.81,182.38,15.62,0.65,34.49,2.48,20.23,,,,2.92,3.92,2.69,3.63,2.23,10.49,9.69,3.94,6.14,13.99,5.27,4.73,26.32,82.9,43.8,0.99,367.87,13.0,159.52,52.32,333.64,49.01,15.0,289.66,15.19,230.66,100.07,21.26,28.29,,,26.47,,44.62,39.18,5.44,12.09,7.91
95,DB,F,3,7.98,142.27,207.31,273.05,17.45,102.11,229.99,17.0,43.05,44.55,142.66,160.52,25.41,81.73,4.17,14.93,0.0,8.16,6.29,1.77,410.74,105.33,14.88,0.28,21.63,1.38,,13.33,9.24,29.37,1.96,1.18,1.63,2.47,2.32,13.75,12.34,4.19,4.87,21.06,5.37,10.46,57.76,81.24,41.83,0.91,349.14,20.15,187.5,46.8,191.0,43.39,8.55,165.39,11.42,116.53,41.92,11.68,27.85,11.15,6.87,22.78,1.33,39.88,35.58,4.3,9.83,6.23
98,DB,T,3,8.45,160.05,198.83,280.06,20.56,117.33,217.81,19.79,62.24,77.05,136.9,154.66,16.93,80.22,3.52,14.26,0.0,8.85,7.93,2.9,542.27,143.85,15.25,0.47,28.06,1.93,,,,,2.44,2.55,2.16,3.05,2.27,12.12,11.02,4.07,5.5,17.52,5.32,7.6,42.04,82.07,42.81,0.95,358.5,16.57,173.51,49.56,262.32,46.2,11.78,227.53,13.3,173.59,71.0,16.47,28.07,,,24.63,,42.25,37.38,4.87,10.96,7.07
101,DC,M,3,6.53,111.47,209.65,244.99,18.21,115.03,176.75,16.97,68.24,123.18,80.68,135.96,7.51,66.29,3.66,8.73,0.0,10.21,7.29,6.14,430.18,169.84,15.94,1.98,55.74,3.07,12.31,,,,4.21,9.78,2.92,4.62,0.97,5.62,5.0,4.24,5.24,11.36,2.65,1.6,34.11,30.91,16.84,3.03,131.92,8.33,133.52,27.05,224.1,21.2,22.15,167.21,26.82,250.92,62.86,23.91,41.63,,,21.67,,32.67,29.56,3.11,13.07,9.64
104,DC,F,3,5.65,128.78,168.42,213.79,12.02,75.37,179.24,11.49,34.55,53.68,79.28,111.65,10.48,63.86,3.12,6.06,0.0,6.96,4.03,4.49,194.06,68.95,11.15,0.78,28.23,0.5,,6.89,5.54,51.71,2.71,7.6,2.84,0.43,2.82,8.81,5.05,1.41,4.81,23.31,2.59,6.41,38.91,39.52,11.51,5.94,121.13,17.37,137.4,27.52,173.1,21.58,17.06,133.66,24.06,109.93,17.71,5.47,34.24,10.18,12.66,16.97,1.46,28.26,25.25,3.02,8.4,6.64
107,DC,T,3,6.09,120.13,189.03,229.39,15.12,95.2,178.0,14.23,51.39,88.43,79.98,123.81,9.0,65.08,3.39,7.4,0.0,8.59,5.66,5.32,312.12,119.4,13.54,1.38,41.98,1.78,,,,,3.46,8.69,2.88,2.52,1.9,7.22,5.03,2.83,5.03,17.34,2.62,4.0,36.51,35.22,14.18,4.49,126.52,12.85,135.46,27.29,198.6,21.39,19.61,150.44,25.44,180.43,40.29,14.69,37.94,,,19.32,,30.47,27.41,3.06,10.74,8.14
110,EA,M,3,9.89,110.67,135.14,250.19,15.25,70.47,208.8,14.48,41.4,76.91,112.46,130.17,9.46,78.57,4.34,8.01,0.0,11.77,4.43,8.09,46.01,228.38,22.04,0.74,56.61,3.17,42.43,,,,9.97,3.51,3.26,5.85,3.31,6.16,5.09,1.92,2.24,12.91,2.0,4.41,22.56,23.83,16.86,4.54,126.17,8.37,74.16,42.2,481.77,38.33,13.32,422.64,11.05,116.12,26.56,10.35,22.15,,,25.95,,49.47,46.57,2.9,18.49,11.2
113,EA,F,3,9.01,102.79,127.24,230.75,14.48,59.57,200.98,14.08,29.77,39.19,106.95,108.38,6.65,61.39,3.8,8.35,0.0,9.32,2.5,6.2,14.75,85.79,16.06,0.58,24.19,0.73,,26.9,17.54,33.86,4.33,2.71,1.82,2.01,2.42,4.58,2.61,1.88,4.88,14.52,2.03,7.84,48.3,26.58,9.64,2.37,106.91,12.15,96.01,44.34,665.43,38.3,11.0,610.96,7.33,87.39,21.78,7.14,23.24,6.03,5.76,23.57,1.13,45.03,42.11,2.92,16.71,9.54
116,EA,T,3,9.45,106.73,131.19,240.47,14.87,65.02,204.89,14.28,35.59,58.05,109.7,119.27,8.06,69.98,4.07,8.18,0.0,10.54,3.46,7.15,30.38,157.09,19.05,0.66,40.4,1.95,,,,,7.15,3.11,2.54,3.93,2.87,5.37,3.85,1.9,3.56,13.71,2.02,6.13,35.43,25.2,13.25,3.46,116.54,10.26,85.09,43.27,573.6,38.31,12.16,516.8,9.19,101.76,24.17,8.74,22.7,,,24.76,,47.25,44.34,2.91,17.6,10.37
119,FA,M,3,10.34,105.7,132.73,253.71,13.7,54.91,227.77,13.28,25.95,42.38,134.04,124.63,7.25,46.66,11.65,18.77,0.0,9.7,2.91,8.15,23.37,108.59,20.37,0.57,59.67,1.9,42.42,,,,2.75,1.95,3.93,4.66,2.53,7.81,6.64,2.62,2.73,17.71,2.91,7.32,28.72,38.96,34.94,3.99,177.8,13.71,113.59,55.03,446.58,50.61,39.23,371.46,16.87,126.87,30.63,8.69,32.35,,,23.88,,51.68,49.26,2.42,14.73,8.92
122,FA,F,3,8.52,103.36,179.84,254.02,14.64,76.79,235.58,14.35,18.44,28.5,136.45,119.3,15.98,55.11,16.88,17.18,0.0,8.42,1.83,5.74,13.15,47.15,11.03,0.42,14.85,0.48,,23.31,22.92,27.78,1.87,1.37,3.39,6.43,3.65,5.35,4.91,2.22,5.2,15.22,3.5,10.24,57.65,38.24,47.02,1.62,197.76,13.6,152.49,48.64,535.68,45.64,10.93,441.4,16.69,124.03,31.9,14.41,48.16,8.53,11.02,17.13,1.76,42.6,41.16,1.45,11.26,6.62
125,FA,T,3,9.43,104.53,156.28,253.87,14.17,65.85,231.68,13.81,22.2,35.44,135.25,121.97,11.62,50.88,14.27,17.98,0.0,9.06,2.37,6.95,18.26,77.87,15.7,0.49,37.26,1.19,,,,,2.31,1.66,3.66,5.54,3.09,6.58,5.78,2.42,3.97,16.46,3.21,8.78,43.19,38.6,40.98,2.81,187.78,13.66,133.04,51.84,491.13,48.13,25.08,406.43,16.78,125.45,31.27,11.55,40.26,,,20.5,,47.14,45.21,1.94,13.0,7.77
128,GA,M,3,11.12,104.32,114.91,254.33,9.47,37.25,215.95,8.62,38.38,85.54,129.67,68.87,4.95,40.61,3.39,2.9,0.0,11.44,2.59,5.12,34.72,81.8,10.13,1.58,67.58,1.16,42.87,,,,0.55,0.83,2.9,0.0,1.41,3.06,2.23,1.86,3.13,18.63,1.69,1.43,10.64,18.8,20.44,3.67,107.99,14.95,61.27,62.85,284.04,59.72,8.08,263.05,9.61,59.9,8.34,11.25,10.28,,,32.64,,55.6,53.99,1.61,11.16,4.94
131,GA,F,3,9.46,105.71,123.42,235.89,8.14,37.4,206.16,7.69,29.72,45.13,128.48,63.31,10.39,34.04,7.64,4.9,0.0,10.85,1.28,2.97,11.08,26.13,8.07,0.43,9.19,1.38,,14.62,9.15,28.99,0.0,2.22,2.86,1.39,1.46,1.38,1.38,1.16,2.12,13.46,1.87,5.34,29.74,32.78,19.99,0.66,86.97,12.8,99.72,60.22,316.04,55.55,4.51,299.36,7.43,35.97,7.18,3.45,9.47,4.86,7.89,28.08,2.31,47.31,44.91,2.4,8.89,3.12
